_id,action,createdAt,daily_additionalComment_value,daily_airDraft_timestamp,daily_airDraft_value,daily_ambientSounds_timestamp,daily_ambientSounds_value,daily_artificialLight_timestamp,daily_artificialLight_value,daily_dayLight_timestamp,daily_dayLight_value,daily_smell_timestamp,daily_smell_value,daily_studentsAdherence_timestamp,daily_studentsAdherence_value,daily_studentsFocused_timestamp,daily_studentsFocused_value,daily_studentsIrritated_timestamp,daily_studentsIrritated_value,daily_studentsMotivated_timestamp,daily_studentsMotivated_value,device,finishedAt,heartbeat,hourly_airQuality_timestamp,hourly_airQuality_value,hourly_humidity_timestamp,hourly_humidity_value,hourly_indoorClimate_timestamp,hourly_indoorClimate_value,hourly_temperature_timestamp,hourly_temperature_value,participant,startedAt,type,updatedAt
6318ded0834138f30fabbd44,manual,2022-09-07T18:11:28.511Z,,,,,,,,,,,,,,,,,,,,6318de412c5704a9e531d59d,2022-09-07T18:11:26.549Z,6318ded0834138f30fabbd43,2022-09-07T18:11:25.687Z,1,2022-09-07T18:11:25.114Z,1,2022-09-07T18:11:24.391Z,1,2022-09-07T18:11:24.768Z,1,6318dea612223a195314b5ee,2022-09-07T18:11:11.655Z,hourly,2022-09-07T18:11:28.511Z
6319cf4eda207aecda9c7cb4,manual,2022-09-08T11:17:34.382Z,,,,,,,,,,,,,,,,,,,,63186f95a505031fc7fc2550,2022-09-08T11:17:34.528Z,6319cf4eda207aecda9c7cb3,2022-09-08T11:17:24.566Z,1,2022-09-08T11:17:18.652Z,1,2022-09-08T11:17:17.468Z,1,2022-09-08T11:17:18.066Z,2,6318dea512223a195314b5eb,2022-09-08T11:16:51.127Z,hourly,2022-09-08T11:17:34.382Z
6319d01cda207aecda9c7cb6,timeout,2022-09-08T11:21:00.216Z,,2022-09-08T11:17:44.883Z,3,2022-09-08T11:17:46.707Z,3,2022-09-08T11:17:46.080Z,2,2022-09-08T11:17:45.582Z,1,2022-09-08T11:17:44.336Z,1,2022-09-08T11:17:50.041Z,3,2022-09-08T11:17:49.314Z,2,2022-09-08T11:17:49.084Z,3,2022-09-08T11:17:49.727Z,3,63186f95a505031fc7fc2550,2022-09-08T11:21:00.362Z,6319d01cda207aecda9c7cb5,,,,,,,,,6318dea512223a195314b5eb,2022-09-08T11:17:37.325Z,daily,2022-09-08T11:21:00.216Z
6319d04dda207aecda9c7cb8,manual,2022-09-08T11:21:49.866Z,,2022-09-08T11:21:38.604Z,2,2022-09-08T11:21:39.767Z,2,2022-09-08T11:21:39.159Z,4,,0,2022-09-08T11:21:38.265Z,3,2022-09-08T11:21:41.657Z,4,2022-09-08T11:21:41.992Z,3,,0,,0,63186f95a505031fc7fc2550,2022-09-08T11:21:50.004Z,6319d04dda207aecda9c7cb7,,,,,,,,,6318dea512223a195314b5eb,2022-09-08T11:21:36.117Z,daily,2022-09-08T11:21:49.866Z
6319db5dda207aecda9c7cc0,manual,2022-09-08T12:09:01.264Z,,,,,,,,,,,,,,,,,,,,63186baaa505031fc7fc253d,2022-09-08T12:09:00.459Z,6319db5dda207aecda9c7cbf,2022-09-08T12:08:56.902Z,3,2022-09-08T12:08:51.781Z,3,2022-09-08T12:08:43.499Z,4,2022-09-08T12:08:39.882Z,3,6318dea612223a195314b603,2022-09-08T12:07:08.428Z,hourly,2022-09-08T12:09:01.264Z
631ae7e5da207aecda9c7cf4,manual,2022-09-09T07:14:45.729Z,,,,,,,,,,,,,,,,,,,,631864b5a505031fc7fc2526,2022-09-09T07:14:45.883Z,631ae7e5da207aecda9c7cf3,2022-09-09T07:14:44.422Z,5,2022-09-09T07:14:43.832Z,5,2022-09-09T07:14:42.569Z,5,2022-09-09T07:14:43.200Z,5,6318dea512223a195314b5eb,2022-09-09T07:14:30.474Z,hourly,2022-09-09T07:14:45.729Z
63217b9cda207aecda9c805f,manual,2022-09-14T06:58:36.280Z,,,,,,,,,,,,,,,,,,,,63186922a505031fc7fc2532,2022-09-14T06:58:35.351Z,63217b9cda207aecda9c805e,2022-09-14T06:58:33.802Z,1,2022-09-14T06:58:29.223Z,3,2022-09-14T06:58:14.988Z,1,2022-09-14T06:58:17.738Z,5,6318dea612223a195314b5f0,2022-09-14T06:57:55.528Z,hourly,2022-09-14T06:58:36.280Z
63217c1ada207aecda9c8062,manual,2022-09-14T07:00:42.559Z,,,,,,,,,,,,,,,,,,,,63186922a505031fc7fc2532,2022-09-14T07:00:41.651Z,63217c1ada207aecda9c8061,2022-09-14T07:00:38.257Z,1,2022-09-14T07:00:21.130Z,3,2022-09-14T06:59:04.277Z,2,2022-09-14T06:59:20.329Z,4,6318dea712223a195314b60c,2022-09-14T06:58:48.387Z,hourly,2022-09-14T07:00:42.559Z
63218ef3da207aecda9c8073,manual,2022-09-14T08:21:07.892Z,,,,,,,,,,,,,,,,,,,,63186922a505031fc7fc2532,2022-09-14T08:21:06.821Z,63218ef3da207aecda9c8072,2022-09-14T08:21:05.759Z,1,2022-09-14T08:21:04.093Z,3,2022-09-14T08:20:33.626Z,1,2022-09-14T08:20:35.878Z,5,6318dea612223a195314b5f0,2022-09-14T08:20:29.897Z,hourly,2022-09-14T08:21:07.892Z
6321a03dda207aecda9c8087,manual,2022-09-14T09:34:53.049Z,,,,,,,,,,,,,,,,,,,,63186995a505031fc7fc2534,2022-09-14T09:34:51.859Z,6321a03dda207aecda9c8086,2022-09-14T09:34:49.428Z,2,2022-09-14T09:34:48.771Z,2,2022-09-14T09:34:47.450Z,2,2022-09-14T09:34:48.109Z,2,6318dea712223a195314b60d,2022-09-14T09:34:21.081Z,hourly,2022-09-14T09:34:53.049Z
